post_uri,reply_uri,reply_author,reply_text,reply_createdAt
at://did:plc:vh5j73ykqzlwc6xatggmamae/app.bsky.feed.post/3lg7xega2es2v,at://did:plc:nyas6q3csgn5wq5sngsxamzu/app.bsky.feed.post/3lg7xh7ydhk2e,did:plc:nyas6q3csgn5wq5sngsxamzu,Fuck. A vote for any cat is more patriotic than a Trump/Stein vote!,2025-01-21T03:55:51.534Z
at://did:plc:4fwllxpemqy247mpwoual2px/app.bsky.feed.post/3lg7xd7gqp22v,at://did:plc:3gonrhnoaepyp4mujks6ru4a/app.bsky.feed.post/3lg7xqpiy5k2t,did:plc:3gonrhnoaepyp4mujks6ru4a,"I mean, you did reply to my comment complaining about the virtue signaling the far left is doing instead of wanting to make incremental progress.",2025-01-21T04:01:09.799Z
at://did:plc:qnht6ovrrrmm55a5nwbcnrws/app.bsky.feed.post/3lg7wvuhj2s2h,at://did:plc:76nuup4f43ywsvtrhb47flrt/app.bsky.feed.post/3lg7x3o2tns2j,did:plc:76nuup4f43ywsvtrhb47flrt,That’s not how I voted lol. You’re just so determined to put folks in a box that’s easy to blame instead of facing the fact your party sucks. Centrist dems need to be excised from the party for actual progress to be made. They’re old and ineffective much like your arguments here.,2025-01-21T03:49:23.643Z
at://did:plc:lxwkxxy3nkwjqynfuxnzaehj/app.bsky.feed.post/3lg7wupwls226,at://did:plc:z3uxrp3jjms42yvq5r5mtn2s/app.bsky.feed.post/3lgaoq3e3i22y,did:plc:z3uxrp3jjms42yvq5r5mtn2s,The ones that get me are the people who requested and received a mail-in ballot but didn’t vote. You don’t have to be inconvenienced in any way. What the actual fuck is so hard?,2025-01-21T10:52:24.729Z
at://did:plc:lxwkxxy3nkwjqynfuxnzaehj/app.bsky.feed.post/3lg7wupwls226,at://did:plc:hhgyhrhi6puyqlfrjevo7j3y/app.bsky.feed.post/3lgap2du4ak2h,did:plc:hhgyhrhi6puyqlfrjevo7j3y,"Also, the misogynistic men of all cultures that would not vote for a woman.",2025-01-21T10:58:09.185Z
at://did:plc:lxwkxxy3nkwjqynfuxnzaehj/app.bsky.feed.post/3lg7wupwls226,at://did:plc:53jdsk26kvazasjj7imh72r3/app.bsky.feed.post/3lgatm4en3k2q,did:plc:53jdsk26kvazasjj7imh72r3,To those people.,2025-01-21T12:19:40.276Z
at://did:plc:4fwllxpemqy247mpwoual2px/app.bsky.feed.post/3lg7wsyrfhk2v,at://did:plc:4fwllxpemqy247mpwoual2px/app.bsky.feed.post/3lg7wwzqopc2v,did:plc:4fwllxpemqy247mpwoual2px,"For one, Biden should have gotten out of his own way and everyone else's and not contested the primary (which he promised he would not do after assuming office). Then Dems could have had an actual primary & voters could have gotten to know the candidate instead of the speedrun we ended up with.",2025-01-21T03:46:48.122Z
at://did:plc:4fwllxpemqy247mpwoual2px/app.bsky.feed.post/3lg7wsyrfhk2v,at://did:plc:3gonrhnoaepyp4mujks6ru4a/app.bsky.feed.post/3lg7wyofcvs2t,did:plc:3gonrhnoaepyp4mujks6ru4a,"taking the entire Biden not running fiasco and putting it aside, the only thing that the Democrats could have done this cycle is acquiesce to the terrorists who were holding marginalized communities at home hostage in exchange for us reneging on our treaty obligations.",2025-01-21T03:47:43.323Z
at://did:plc:ffqrmizoc5z6ly4vf3mhgwta/app.bsky.feed.post/3lg7wh4jjfc2c,at://did:plc:ffqrmizoc5z6ly4vf3mhgwta/app.bsky.feed.post/3lg7wquqhe22c,did:plc:ffqrmizoc5z6ly4vf3mhgwta,"Unironically though, I got really psyched when I was in Dallas and saw a pro-Palestine protest outside the grassy knoll. 

I uhh then got pissed at seeing the one person wearing tons of Jill Stein merchandise.

And then just pretended they weren’t there and went back to being happy about the protest",2025-01-21T03:43:21.545Z
at://did:plc:7qbd6akz5yb5oapz63fmqbcq/app.bsky.feed.post/3lg7w6zl5dc2z,at://did:plc:3akns5z6ofdnpflu242j2h5o/app.bsky.feed.post/3lg7wfvj64s2y,did:plc:3akns5z6ofdnpflu242j2h5o,Neither did Kamala Harris,2025-01-21T03:37:13.255Z
